timestamp;ax;ay;az;gx;gy;gz
177504;-0.1906;0.2380;0.4866;-0.0382;-48.931;-0.2595
177549;-0.1956;0.2292;0.4786;0.0229;0.1679;0.1374
177594;-0.2540;0.1991;0.4469;0.0000;-10.305;0.0611
177639;-0.2534;0.1631;0.4458;-0.0229;-31.603;11.145
177684;-0.1982;0.1847;0.4726;-0.1756;-21.069;10.382
177729;-0.2135;0.2053;0.4602;-0.1221;-0.0763;0.7023
177774;-0.2291;0.2415;0.4551;-0.1374;-0.4122;0.5725
177819;-0.2054;0.2619;0.4602;-0.3664;-15.038;0.0840
177864;-0.1812;0.2904;0.4754;-0.9542;-0.7405;-0.6870
177909;-0.1688;0.1879;0.5025;-17.710;-0.4351;-20.229
177954;-0.2126;0.1249;0.5106;-16.183;0.1527;-21.756
177999;-0.2418;0.0863;0.4968;-10.687;-28.092;-12.137
178044;-0.2117;0.2044;0.5015;-0.3588;-25.725;0.3817
178089;-0.2007;0.1683;0.4743;0.4275;13.359;0.3282
178134;-0.2977;0.1569;0.4551;13.130;-14.275;0.2901
178179;-0.2266;0.2558;0.4704;12.519;-55.496;11.527
178224;-0.1376;0.2556;0.4980;0.0992;-16.870;0.9389
178269;-0.1688;0.2027;0.4816;-0.2443;38.779;0.2901
178314;-0.2259;0.1951;0.4515;0.1908;27.176;-0.4504
178359;-0.2544;0.2069;0.4574;0.5649;-0.8321;0.0076
178404;-0.1877;0.2050;0.4806;0.9771;-25.878;-0.1985
178449;-0.1924;0.1932;0.5053;0.8473;-13.664;-0.3969
178494;-0.1995;0.2168;0.4916;0.4046;-0.0305;-0.0763
178539;-0.2087;0.2327;0.4799;0.3588;0.4198;0.0458
178584;-0.2136;0.2174;0.4565;0.2672;0.5878;-0.1145
178629;-0.2298;0.1871;0.4659;0.1145;-11.832;-0.4809
